learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,4,0.1,0.0001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,1.7228150367736816,0.9523809552192688,0.5,,0.0,1.0,,0.08254913985729218,0.02380952425301075,0.25,0.024390242993831635,0.5,0.0,0.04651162773370743
0.0001,4,0.1,0.0001,2,128,0.05000000074505806,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.04345625266432762,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.04345625266432762,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,4,0.1,0.0001,2,256,0.44999998807907104,0.8571428656578064,0.6875,0.1666666716337204,0.5,0.875,0.25,0.4472644627094269,0.3333333432674408,0.4124999940395355,0.0357142873108387,0.5,0.32499998807907104,0.06666667014360428,0.44741925597190857,0.3333333432674408,0.4124999940395355,0.0357142873108387,0.5,0.32499998807907104,0.06666667014360428
0.0001,4,0.1,0.001,1,64,0.44999998807907104,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.3708385229110718,0.738095223903656,0.625,0.09090909361839294,0.5,0.75,0.1538461595773697,0.3708385229110718,0.738095223903656,0.625,0.09090909361839294,0.5,0.75,0.1538461595773697
0.0001,4,0.1,0.001,1,128,0.44999998807907104,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.40135228633880615,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.4017028510570526,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,4,0.1,0.001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4290962219238281,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.4292382299900055,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096
0.0001,4,0.1,0.001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.07785721868276596,0.1190476194024086,0.5375000238418579,0.05128205195069313,1.0,0.07500000298023224,0.09756097197532654,0.0830950140953064,0.3571428656578064,0.1875,0.0,0.0,0.375,
0.0001,4,0.1,0.001,2,128,0.4000000059604645,0.761904776096344,0.875,0.1666666716337204,1.0,0.75,0.2857142984867096,0.39881402254104614,0.7142857313156128,0.8500000238418579,0.1428571492433548,1.0,0.699999988079071,0.25,0.39881402254104614,0.7142857313156128,0.8500000238418579,0.1428571492433548,1.0,0.699999988079071,0.25
0.0001,4,0.1,0.001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4574444890022278,0.7857142686843872,0.6499999761581421,0.1111111119389534,0.5,0.800000011920929,0.1818181872367859,0.4582476019859314,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,4,0.3,0.0001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.46186548471450806,0.6428571343421936,0.574999988079071,0.06666667014360428,0.5,0.6499999761581421,0.11764705926179886,0.46186548471450806,0.6428571343421936,0.574999988079071,0.06666667014360428,0.5,0.6499999761581421,0.11764705926179886
0.0001,4,0.3,0.0001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.45922815799713135,0.9285714030265808,0.9624999761581421,0.4000000059604645,1.0,0.925000011920929,0.5714285969734192,0.45922815799713135,0.9285714030265808,0.9624999761581421,0.4000000059604645,1.0,0.925000011920929,0.5714285969734192
0.0001,4,0.3,0.0001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4314497411251068,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.43538573384284973,0.4761904776096344,0.48750001192092896,0.04545454680919647,0.5,0.4749999940395355,0.0833333358168602
0.0001,4,0.3,0.0001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,1.8910503387451172,0.9523809552192688,0.5,,0.0,1.0,,0.0791851133108139,0.1666666716337204,0.32499998807907104,0.02857142873108387,0.5,0.15000000596046448,0.054054055362939835
0.0001,4,0.3,0.0001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.2754257023334503,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.2754257023334503,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096
0.0001,4,0.3,0.0001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.05408409610390663,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.05408409610390663,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,4,0.3,0.001,1,64,0.4000000059604645,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.37364864349365234,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224,0.37364864349365234,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
