learning_rate,batch_size,dropout,weight_decay,gamma_fl,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.01,32,0.1,0.0001,3,0.15000000596046448,0.9166666865348816,0.625,1.0,0.25,1.0,0.4000000059604645,0.0806371197104454,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75,0.0806371197104454,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75
0.01,32,0.1,0.001,2,0.15000000596046448,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.1398407518863678,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.1398407518863678,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
0.01,32,0.1,0.001,3,0.25,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.17850670218467712,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.17850670218467712,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,32,0.1,0.01,2,0.25,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408,0.27522310614585876,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.2916942238807678,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,32,0.1,0.01,3,0.30000001192092896,0.5277777910232544,0.734375,0.190476194024086,1.0,0.46875,0.3199999928474426,0.3307865560054779,0.7777777910232544,0.765625,0.30000001192092896,0.75,0.78125,0.4285714328289032,0.3307865560054779,0.7777777910232544,0.765625,0.30000001192092896,0.75,0.78125,0.4285714328289032
0.01,32,0.3,0.0001,2,0.05000000074505806,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.06618174910545349,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.06618174910545349,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
0.01,32,0.3,0.0001,3,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.06228085979819298,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.06228085979819298,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
0.01,32,0.3,0.001,2,0.15000000596046448,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.08019838482141495,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.10157304257154465,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,32,0.3,0.001,3,0.15000000596046448,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.16869087517261505,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.16869087517261505,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,32,0.3,0.01,2,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.31825149059295654,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.283502995967865,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
0.01,32,0.3,0.01,3,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3357146084308624,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.33955761790275574,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645
0.01,64,0.0,0.0001,2,0.05000000074505806,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.050118353217840195,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.050118353217840195,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
0.01,64,0.0,0.0001,3,0.15000000596046448,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.06039723753929138,0.8055555820465088,0.671875,0.2857142984867096,0.5,0.84375,0.3636363744735718,0.06039723753929138,0.8055555820465088,0.671875,0.2857142984867096,0.5,0.84375,0.3636363744735718
0.01,64,0.0,0.001,2,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.07682745903730392,0.8055555820465088,0.671875,0.2857142984867096,0.5,0.84375,0.3636363744735718,0.11911468952894211,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
0.01,64,0.0,0.001,3,0.20000000298023224,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.21233420073986053,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.21233420073986053,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,64,0.0,0.01,2,0.25,0.7777777910232544,0.765625,0.30000001192092896,0.75,0.78125,0.4285714328289032,0.25793686509132385,0.8333333134651184,0.796875,0.375,0.75,0.84375,0.5,0.25793686509132385,0.8333333134651184,0.796875,0.375,0.75,0.84375,0.5
0.01,64,0.0,0.01,3,0.3499999940395355,0.7777777910232544,0.765625,0.30000001192092896,0.75,0.78125,0.4285714328289032,0.33793628215789795,0.75,0.75,0.27272728085517883,0.75,0.75,0.4000000059604645,0.33793628215789795,0.75,0.75,0.27272728085517883,0.75,0.75,0.4000000059604645
0.01,64,0.1,0.0001,2,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.10843026638031006,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.10843026638031006,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
0.01,64,0.1,0.0001,3,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.0437391996383667,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.06455378234386444,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096
0.01,64,0.1,0.001,2,0.10000000149011612,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.13627958297729492,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.13627958297729492,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
0.01,64,0.1,0.001,3,0.20000000298023224,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.1716068834066391,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.1716068834066391,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,64,0.1,0.01,2,0.30000001192092896,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.31107622385025024,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.31107622385025024,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
0.01,64,0.1,0.01,3,0.3499999940395355,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.3476661741733551,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.34435227513313293,0.25,0.46875,0.1034482792019844,0.75,0.1875,0.1818181872367859
0.01,64,0.3,0.0001,2,0.20000000298023224,0.8888888955116272,0.5,,0.0,1.0,,0.08503168821334839,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.08503168821334839,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096
0.01,64,0.3,0.0001,3,0.10000000149011612,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.07727930694818497,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.07727930694818497,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,64,0.3,0.001,2,0.10000000149011612,0.8055555820465088,0.671875,0.2857142984867096,0.5,0.84375,0.3636363744735718,0.06504940241575241,0.7222222089767456,0.625,0.20000000298023224,0.5,0.75,0.2857142984867096,0.11355707049369812,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645
0.01,64,0.3,0.001,3,0.25,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.17390024662017822,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.19394931197166443,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,64,0.3,0.01,2,0.25,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408,0.2759217917919159,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.2916639745235443,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,64,0.3,0.01,3,0.3499999940395355,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.34228479862213135,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.3446451425552368,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645
0.001,8,0.0,0.0001,2,0.3499999940395355,0.8888888955116272,0.5,,0.0,1.0,,0.1407637745141983,0.8055555820465088,0.5625,0.20000000298023224,0.25,0.875,0.2222222238779068,0.1407637745141983,0.8055555820465088,0.5625,0.20000000298023224,0.25,0.875,0.2222222238779068
